calibration,code_identifier,decision,eligibility,fallback,inputs,policy
none,oracle_best_action,minimum median total runtime with deterministic action tie order,correctness gate plus runtime feasibility,not a deployable policy,all measured action repeat medians; evaluation only,empirical oracle
leave-one-condition-out per-device known-family summaries,amortization_policy,minimize startup plus N steps times step-time plus infeasibility risk,correctness blocklist and graph shape gate,"best_eager when legal, otherwise eager if no candidate","device, workload id, batch size, step budget, shape stability",calibrated admission
leave-one-condition-out per-device known-family summaries,risk_aware_policy,calibrated estimate plus IQR margin; abstain if best non-eager is within 2 percent of eager,"correctness blocklist, graph shape gate, zero-infeasible calibration bucket","best_eager when legal, otherwise eager",calibrated inputs plus first-k eager timing proxy,risk-aware admission
leave-one-condition-out per-device known-family summaries,first_k_probe_policy,scale calibrated step estimates by observed first-k eager timing,"same as risk-aware, without IQR/eager margin","best_eager when legal, otherwise eager",static metadata plus first-k eager timing proxy,first-k policy
leave-one-condition-out only for action feasibility,static_gate_plus_eligibility,"static step threshold chooses graphs for stable shapes, otherwise eager","correctness blocklist, graph shape gate, zero-infeasible calibration bucket",eager-family baseline on ineligible actions,step budget and shape stability,eligibility-gated policy
leave-one-workload-family-out per device,workload_family_holdout_policy,risk-aware structured estimate after removing target workload family,same structured eligibility gate,"best_eager when legal, otherwise eager","static metadata and first-k proxy, no target workload-family calibration rows",family-holdout policy
none,always_graphs,always choose graphs_only,none at decision time,optimistic zero-cost eager-family fallback if invalid,none beyond assigned job,graph-only baseline
none,always_best_eager,always choose best_eager,best_eager legality only observed at evaluation,literal eager when best_eager is illegal,none beyond assigned job,always-best-eager baseline
"fixed threshold, not tuned on test labels",static_threshold,"graphs for stable long jobs, compile for mostly stable long jobs, eager otherwise",none beyond unstable-shape eager guard,optimistic zero-cost eager-family fallback if invalid,step budget and shape stability,static-threshold baseline
"fixed threshold, not tuned on test labels",job_length_only,"compile_only above threshold, eager below threshold",none,optimistic zero-cost eager-family fallback if invalid,step budget only,job-length-only baseline
none,shape_only,"graphs for stable, compile for mostly stable, eager for unstable",none,optimistic zero-cost eager-family fallback if invalid,shape stability only,shape-only baseline
none,always_compile,always choose compile_only,none,not normally triggered because compile_only is feasible in this suite,none beyond assigned job,always-compile baseline
